カテゴリ,難易度,問題,正答,誤答,解説
IPカメラ,1,動画のエンコーダーは何を行う機能か？,動画データを圧縮・変換する,圧縮・変換された動画データを復元する,エンコーダーは、元の動画データを圧縮し、転送や保存に適した形式に変換します。
IPカメラ,1,H.264は何の規格か？,動画圧縮コーデック,音声圧縮コーデック,H.264は、広く使用されている動画圧縮のコーデック規格です。
IPカメラ,1,動画のデコーダーは何を行う機能か？,圧縮・変換された動画データを復元する,動画データを圧縮・変換する,デコーダーは、圧縮された動画データをデコードし、再生可能な形式に変換します。
IPカメラ,1,動画のIP通信で使用される一般的なプロトコルは？,RTSP (Real Time Streaming Protocol),HTTP (Hypertext Transfer Protocol),RTSPは、動画のリアルタイムストリーミングに特化したプロトコルです。
IPカメラ,1,MPEGとは？,動画圧縮規格,音声編集ソフトウェア,MPEGは、動画と音声の圧縮規格の一つです。
IPカメラ,1,動画エンコーダーで重要な要素は？,圧縮効率と品質,カラープリセット,エンコーダーは、圧縮効率と品質のバランスを最適化することが重要です。
IPカメラ,1,IP通信で動画を配信する場合、圧縮が必要な理由は？,帯域幅を節約するため,セキュリティを向上させるため,圧縮によってデータサイズを減らし、効率的に転送することができます。
IPカメラ,1,H.265（HEVC）の特徴は？,H.264より高い圧縮効率,H.264より低い画質,H.265は、H.264に比べて高い圧縮効率を持ち、同じ品質でより少ない帯域幅を必要とします。
IPカメラ,1,動画を圧縮せずに転送すると、主に何が問題になるか？,帯域幅が不足する,映像の色が変わる,非圧縮動画は非常に大きなデータサイズを持つため、帯域幅を圧迫します。
IPカメラ,1,動画のデコーダーが正しく動作しない場合、動画はどうなるか？,再生できない,圧縮される,デコーダーが正しく動作しないと、圧縮データが再生可能な形式に変換できず、再生できません。
IPカメラ,2,H.264で使用されるフレームタイプ「Iフレーム」とは何を表すか？,完全な画像データを含むフレーム,他のフレームとの差分を記録したフレーム,Iフレームは、圧縮なしの完全な画像情報を含むフレームです。
IPカメラ,2,H.264で使用されるフレームタイプ「Pフレーム」とは何を表すか？,直前のフレームとの差分データを含むフレーム,完全な画像データを含むフレーム,Pフレームは、データ量を減らすために差分情報のみを格納します。
IPカメラ,2,H.264で使用されるフレームタイプ「Bフレーム」の特徴は？,前後のフレームとの差分データを使用する,他のフレームに依存しない,Bフレームは、前後のフレームを参照して効率的にデータを圧縮します。
IPカメラ,2,ビットレートを下げると動画の品質はどうなるか？,低下する,向上する,ビットレートを下げるとデータ量が減少し、画質が低下します。
IPカメラ,2,エンコード中の「キーフレーム間隔」とは何か？,Iフレーム間の間隔,圧縮率の設定値,キーフレーム間隔は、動画内でIフレームが挿入される頻度を表します。
IPカメラ,2,VBR（可変ビットレート）の利点は何か？,必要に応じてビットレートを調整し、効率を向上させる,一定のビットレートを維持する,VBRは、シーンの複雑さに応じてビットレートを調整するため、効率的です。
IPカメラ,2,圧縮後の動画データにおける「ブロックノイズ」の原因は？,高い圧縮率,フレームレートの低下,圧縮率が高すぎると画質が低下し、ブロックノイズが目立ちます。
IPカメラ,2,エンコード時に「インター予測」が使用されるのはどのフレームか？,PフレームとBフレーム,Iフレーム,インター予測は、前後のフレームを参照して差分を記録する手法です。
IPカメラ,3,H.265（HEVC）がH.264よりも効率的である理由は？,より細かいブロックサイズで処理する,高いフレームレートを使用する,H.265は、最大64×64ピクセルのブロック単位で処理し、効率を向上させています。
IPカメラ,3,動画コーデックの「プロファイル」とは何を指定するか？,コーデックの機能や品質レベル,フレームレートの範囲,プロファイルは、コーデックがサポートする機能や性能レベルを決定します。
IPカメラ,3,H.264で「CABAC」とは何か？,高効率なエントロピー符号化手法,映像を彩色するアルゴリズム,CABAC（Context-Adaptive Binary Arithmetic Coding）は、高い圧縮効率を提供する符号化手法です。
IPカメラ,3,「CQP（Constant Quantization Parameter）」モードでは、ビットレートは？,一定ではない,一定である,CQPは量子化パラメータを一定に保つため、ビットレートはシーンごとに異なります。
光学知識,1,レンズの焦点距離が長いほど、視野はどうなるか？,狭くなる,広くなる,焦点距離が長いと、ズームしたように視野が狭くなります。
光学知識,1,被写界深度とは何を指すか？,ピントが合っている距離の範囲,無限遠に焦点が合う最短距離,被写界深度は、ピントが合う前後の範囲を指します。
光学知識,1,F値（絞り値）が小さいほど、レンズの開口部は？,大きい,小さい,F値が小さいと開口部が大きくなり、より多くの光を取り込むことができます。
光学知識,1,アイリスは何を調整するための機構か？,レンズの開口部の大きさ,シャッタースピード,アイリスは絞り機構で、光量を調整します。
光学知識,1,カメラセンサーのサイズが大きいほど、画像の画質は？,向上する,低下する,センサーが大きいと、より多くの光を取り込めるため、画質が向上します。
